potao ku'm perm hornet. anih 'long. rogoh hloh wa tah horn todrong pogdp. kra. yang lam noh. ||| vua lập một. nơi. cực. thánh ở giữa ðền. thờ, phía trong, để đặt. hòm. bia. giao ước của ðức. chúa.
na đon sư tơchĕng jing tơklah 'bar trong, minh pah sư wă adrin jang tơdrong. kră. yang, minh pah sư ưh kơhnger achăng kon akăn sư na sư chu jang kiơ̆ kon akăn sư đĕch. mă-lei lu bơngai drŏ-kăn mă ưh kơ đei klo, sư adrin jang tơdrong. kră. yang, sư wă pơyơ̆r akâu sư kơ. kră. yang đĭ đon tơchĕng, đĭ jơhngơ̆m klơm klak sư. mă-lei dah bơngai ayơ đei klo boih, sư tơchĕng lơ tơdrong ala teh âu, sư wă kơ klo sư lăp đon kơ sư. ||| thế là họ bị chia đôi. cũng vậy, đàn bà không có chồng và người trinh nữ thì chuyên lo việc. chúa, để thuộc trọn về. người cả hồn lẫn xác. còn người có chồng thì lo lắng việc đời: họ tìm cách làm đẹp lòng chồng.
na đĩ-đăng bơngai 'isơrael năm tung. hom. pơgờp. kră. yang hăm nờr jreo tơkẽch hiôk chơt, kơtỡng jơwa hlôm keng pãng jơwa tơgiẽp preh chhah reh tlng-nĩng păng brỗ dung. ||| toàn thể ít-ra-en đưa. hòm. bia. giao ước của ðức. chúa lên, vừa đi vừa reo hò, giữa tiếng tù và, kèn đồng và não bạt, với tiếng cầm tiếng sắt
na đĩ-đăng khũl tơpôl hơri bơnê hloi kơ. kră. yang 'bok. kei-dei yă 'bok lu sư, lu sư kùp kởl drap kơkuh kơ. kră. yang, păng kơkuh kơ pơtao. ||| và toàn thể đại hội chúc tụng ðức. chúa là. thiên. chúa của cha ông họ, rồi họ phủ phục bái lạy ðức. chúa và đức vua
na đĩ-đăng lu kon pơlei đơng 'lởp truh tơ 'lồ, păng lu 'bok kuan tih, iung jăk tơ dêh êyiptơ; yua kơ lu sư hli lu bơngai. kalđê iung kơting. ||| toàn dân từ nhỏ đến lớn, cũng như những tướng lãnh chỉ huy các toán quân, lên đường sang. ai-cập vì sợ người. can-đê
na đĭ rim khŭl bơngai, bơngai. juđê, bơngai khŭl nai, mă bơngai đĭch đe, mă bơngai rơngei, dah bơ̆n lui kơ. yêsu. krist,. yang. bơhngol 'lơ̆ng pơm 'batem kơ bơ̆n pơgơ̆p bơ̆n jing minh jơhngơ̆m minh đon dih băl. sư minh 'nu đĕch, mă-lei đĭ-đăng kơ bơ̆n iŏk. sư. ||| thật thế, tất cả chúng ta, dầu là. do-thái hay. hylạp, nô lệ hay tự do, chúng ta đều đã chịu phép rửa trong cùng một. thần. khí để trở nên một thân thể. tất cả chúng ta đã được đầy tràn một. thần. khí duy nhất.
na đĭ-đăng kon bơngai gô 'bôh tơdrong 'bok. kei-dei wă pơklaih bơ̆n đơ̆ng tơdrong yoch tơpă.' ". ||| rồi hết mọi người phàm sẽ thấy ơn cứu độ của. thiên. chúa.
na đĭ-đăng kon pơlei ih gô jing 'lơ̆ng tơpăt lu sư gô đei dêh char 'nâu ling-lang; lu sư bơih bluh tơmơ̆ng đơ̆ng. inh pơtăm, đơ̆ng ti. inh pơm wă kơ. inh đei ư-ang. ||| tất cả dân ngươi sẽ trở thành những người công chính. chúng sẽ làm chủ đất nước này đến muôn đời. chúng là những chồi non do. ta trồng lấy; chúng chính là công việc của tay. ta, để qua chúng chính. ta được vinh hiển.
na đĭ-đăng kon pơlei pơla luh năm lăng. sư. ||| họ ra khỏi thành và đến gặp. người.
na đĭ-đăng kơ lu sư lăp đon kơ. yêsu păng lu sư kư̆m sơleng kơ đon mơ̆n yua kơ. yêsu bơtho kơ lu sư 'bơ̆r đon hơgei tơpă. na lu sư khan: "bơngai âu kon. yôsep dah kiơ?". ||| mọi người đều tán thành và thán phục những lời hay ý đẹp thốt ra từ miệng. người. họ bảo nhau: "ông này không phải là con ông. giu-se đó sao?"
na đĭ-đăng kơ lu đe ei mă năm tơ. yêsu wă 'maih pel. sư yua kơ mưh pel 'bơm akâu. yêsu na mă jĭ kiơ kiơ kư̆m klaih ngăl, yua đơ̆ng tơdrong mơsêh. sư. ||| tất cả đám đông tìm cách sờ vào. người, vì có một năng lực tự nơi. người phát ra, chữa lành hết mọi người.
na đĭ-đăng lu bơngai oei 'bơ̆t ei mơ̆ng. yêsu sơleng kơ đon yua kơ. yêsu tơl lu sư hơgei tơpă. ||| ai nghe cậu nói cũng ngạc nhiên về trí thông minh và những lời đối đáp của cậu.
na đĭ-đăng lu kră pơgơ̆r păng đĭ-đăng kon pơlei chu drơ̆ng kiơ̆ nơ̆r đei pơgơ̆p noh, ăn lu đĭch drŏ-nglo dah drŏ-kăn klaih rơngei. ưh pă đei rôp bu pơm đĭch dơ̆ng. lu sư chu kiơ̆ ăn kơ đĭch đam gơh klaih rơngei. ||| lúc đó họ đều đồng ý; tất cả các quan chức và mọi người có nô lệ đều quyết tâm lập giao ước rằng ai nấy phải trả tự do cho các nô lệ của mình, và họ đã phóng thích các nô lệ của họ
na đĭ-đăng lu kơdră lăm adrĕch. isơrael, wă khan lu yŏng pơyơ̆r adrĕch adrung mă lu đe chih jô̆ boih năm ba tơmam pơyơ̆r lu sư. ||| thì các trưởng-tộc của. y-sơ-ra-ên, tức là các quan-trưởng về những chi-phái mà đã cai-trị cuộc tu-bộ dân, đều đem dâng lễ-vật của mình.
na đĭ-đăng lu sư jet. yêsu: "lei. ih hăm trŏ. kon 'bok. kei-dei tơpă dah ưh?". na. yêsu tơl sư khan: "trŏ tơpă yơh.". ||| mọi người liền nói: "vậy ông là. con. thiên. chúa sao?". người đáp: "đúng như các ông nói, chính tôi đây
na đĭ-đăng lu yŏng kră pơgơ̆r bơngai. isơrael akŭm băl, năm chă. samuel tơ hnam. sư tơ pơlei. rama,. ||| hết thảy những trưởng lão đều hiệp lại, đến tìm. sa-mu-ên tại. ra-ma,
na đĭ-đăng lu đe 'bơ̆t ei sơleng kơ đon yua kơ 'bôh 'bok. kei-dei pơm tơdrong mơsêh mơyang thoi noh. ||| mọi người đều kinh ngạc trước quyền năng cao cả của. thiên. chúa.
na đĭch sư ưh kơ băt kơ kiơ ôh, mă-lei đawit hăm. jônathan đei băt. ||| vả, tôi tớ chẳng biết chi cả, song đa-vít và. giô-na-than hiểu biết điều đó là gì.
na đơ̆ng ei. yêsu khan kơ lu sư: "tơdrong mă êsai khan lê̆ hơdrol noh sơ̆, năr âu boih iĕm 'bôh tơdrong noh truh tơpă.". ||| người bắt đầu nói với họ: "hôm nay đã ứng nghiệm lời. kinh. thánh quý vị vừa nghe."
na đơ̆ng khŭl akŭm wơh mơjĭt-'bar rơbâu 'nu lu bơngai nuih kơtang hloh năm tơ pơlei. gileat păng pơkă kơ lu sư:. năm bĕ, pơlôch đĭ kon pơlei. jabes tơ. gileat, hăm đao gưm pơlôch đĭ lu bơngai drŏ-kăn păng lu 'lơ̆p;. ||| hội chúng bèn sai đến. gia-be một muôn hai ngàn người mạnh mẽ hơn hết, và truyền lịnh rằng:. hãy đi, dùng gươm giết dân cư của. gia-be ở xứ. ga-la-át, luôn với người nữ và con trẻ.
na đơ̆ng noh. yêsu khan kơ bre sư: "biĕm wih roi kơ. yôhan tơdrong mă biĕm kơtơ̆ng đơ̆ng. inh bơtho, hăm biĕm 'bôh noh bĕ:. lu măt tol gơh 'bôh hơdah, lu jơ̆ng kue mah gơh yak, lu jĭ chin mah klaih, lu klĭk jing hơbăng, lu bơngai lôch mah gơh iung arih, lu bơngai dơnuh hin mah mơ̆ng. inh bơtho tơdrong 'nao 'lơ̆ng. ||| người trả lời hai người ấy rằng: "các anh cứ về thuật lại cho ông. gio-an những điều mắt thấy tai nghe: người mù được thấy, kẻ què được đi, người cùi được sạch, kẻ điếc được nghe, người chết trỗi dậy, kẻ nghèo được nghe tin mừng,
na đơ̆ng noh. yêsu tơblang kơ bre sư dôm tơdrong đơ̆ng sơ̆p hla bơar 'bok. kei-dei khan lê̆ hơdrol gah tơdrong. sư, mă đơ̆ng. môis mă truh tơ đĭ lu bơngai pơtruh nơ̆r 'bok. kei-dei sơ̆. ||| rồi bắt đầu từ ông. mô-sê và tất cả các ngôn sứ,. người giải thích cho hai ông những gì liên quan đến. người trong tất cả. sách. thánh.
na đơ̆ng noh blư kơ minh 'nu linh jang 'lơ̆ng đơ̆ng plĕnh jur tơ. sư wă tơgŭm. sư. ||| bấy giờ, có thiên sứ tự trời hiện đến tăng sức cho. người.
na đơ̆ng sơ̆ truh năr. sư jur ning-mônh rim wơ̆t bơ̆n huch sa đak păng 'bĕng 'noh, wă khan bơ̆n pơm tơ'bôh kơ đe tơdrong. sư lôch tang bơ̆n. ||| thật vậy, cho tới ngày. chúa đến, mỗi lần ăn. bánh và uống. chén này, là anh em loan truyền. chúa đã chịu chết.
na đờng noh. pôl tổk tơ hnam kơpal ti dồng, nhôn sa et vvă 'blồk hơdỡr kơ. yêsu. na đong noh nhôn sồng sa hloi. pôl pơma donuh păng lu bongai lui khỗm khõm truh tơhầr lẽch. klaih kơnoh nhôn tơkỉah dih bảl đổng tơduă lu sư. ||| phao-lô lại trở lên, bẻ bành mà ăn; giảng-luận lâu cho đến sáng mới đl.
na đờng noh lu bơngai lui năm truh tơ ei oei lãng tăp dăr kơ. pôl. pôl sư iung hloi năm mởt tơ pơlei dởng. năr doming bre. pôl păng 'bamala năm tơ. pơlei. dibơ. bre. pôl păng 'bamalĩa brõk tơ. pơlei ạntịôs lăm dêh char. siri. ||| nhưng các môn-đồ đương nhóm chung-quanh người, thì người vùng đứng dậy và vào ưong thành. bữa sau, người đi với. ba-na-ba đến thành đẹt-bơ. trở về thành. an-ti-ốt
na đỡng rồng kơ noh inh kơtỡng ang lu bơngai. judê wả răp pơỉôch sư, na inh athei hloi lu linh inh năm ba sư tơ ih. inh athei lu bơngai jâu sư năm tơ ih mỡn wă kơ lu sư jâu sư 'bờt anàp ih.". ||| song tôi có nghe người ta tính kế hại người nầy, nện lập tức sai người đến nơi quan và cũng cho các kẻ cáo người biết rằng phải đến trước mặt quan mà đối-nại.
na đỡng âu tơanăp dah 'nhõng oh bơngai lui bỡn khan 'nẽ kơ sa tơmam noh bỡn giẽng, bỡn kữm 'nẽ kơsa kiơkơsư khan. dah bỡn kữ kơ sa, đe jỗ bưh kiơ bưh, noh ưh kơ 'lỡng ôh, hìi kơ sư hơvvỡl, dang bỡn pơyoch sư mơn. 'păng bỡn jing ưh kơ đei tơdrong 'mêm kơ 'nhõng oh thoi. yêsu lôch tang bỡn, yua kơ hơlỗng bơlũk bỡn đẽch. ||| isvả, nếu vì một thức ăn, ngươi làm cho anh em mình lo-buồn, thì ngươi chẳng còn cư-xử theo đức yêu-thương nữa. chớ nhân thức ăn làm hư-mất người mà đấng. christ đã chịu chết cho.
na ŭnh mă pơmat lu sư noh đei 'nhui tŏk ling-lang ưh kơ dei pơdơh. lu bơngai mă kơkuh kơ sem păng rup sem noh păng chu ăn kơ sem noh chơ̆m đông yâu sư, lu bơngai noh iu sư pơmat măng năr, pă đei hiôk hơya tŏ sĕt 'biŏ'.". ||| khói từ chốn khổ hình của chúng cứ bốc lên đời đời kiếp kiếp. kẻ nào thờ lạy. con. thú và tượng của nó, và nhận dấu thích tên nó, thì ngày đêm không được nghỉ ngơi."
na ưh kơ sĩ tơdrong juăt 'bok. kei-. dei pơkă mă 'lõtag noh petal kơ inh trỗ kơ wă lôch răm ôh. tơdrong juăt 'bok. kei-đei tơbăt kơ inh botagai yoch, mă inh yoch noh ỹua kơ tơdrong kotaễ oei lăm jơhngỡm inh, sư petal kơ inh yoch kơ tơdrong juăt 'bok. kei-dei pơkă na trõ kơ lôch răm. thoi noh bỡn băt boih tơdrong kơnễ oei lămjơhngỡm bỡn kơnễ tơpă. ||| vậy thì điều lành ứở làm cớ cho tôi. chet sao? chẳng hề như vậy! nhưng ấy là tội-lỗi đã làm cho tôi chết, hầu khi nó nhân điều lành làm chết tôi, tự bày ra nó lầ tội-lỗi; đến nỗi tội-lỗi nhân điều-rãn ưở nên cực-ác.
na ưlì kơ kiơ. ||| chớ sao không.
na 'barna'ba khan: "lei ba ànhăk ba. markôs.". ||| ba-na-ba muốn đem theo. giăng cũng gọi là. mác.
na 'bok. kei-dei sư kữm pơm gô mỡng kơ sư wă. tỡng kiở kơ sư ơh, athei phak lu bơngai kơnề dang ei trồ, wă kơ kon bơngaí jởp kơ teh đak ư-ang kơ sư. yang mơsêh pran kơtang. mă-lei dang ei 'bok. kei-dei oei ẽnh kơ tơdrong phak noh. ||| (. nếu đức. chúa. trời muốn tỏ ra cơn thạnh-nộ và làm cho biết quyền-phép. ngài, đã lấy lòng khoan-nhẫn lớn chịu những bình đáng giận sẵn cho sự hư-mất,
na 'bok. kômei khan kơ. pêtrôs: "puăn nàr kơ âu boih, dang jơ âu mõn, pêng jơ kơsờ, inh oei làm hnam inh àu, krao khan kơ. kră. yang 'bok. kei-dei. na inh 'bôh hloi minh 'nu bongai hrũk ao kok hơdah, sư dờng 'bõt.anăp inh. ||| cọt-nây trà lời rằng: đã bón ngày nay, nhàm giờ thứ chín, tôi đương ờ nhà cầu-nguyện, thình-lình có một ngươi mặc áo sáng lòa, hiện ra trước mật tôi,
na 'bok ei đồk lăng sỡp hla bơar ei thoi âu: "bơngai noh đe anhăk ba sư thoi đe anhăk trìu wă pơlôch. thoi kon triu ưh kơ chà hmoi lăp đe yuă sõk sư, bơngai noh kữm ưh kơ đei ôr pơma ha potet ôh. ||| vẳ, chỗ người đọc trong. kinhthánh là đoạn nầy:. người đã bị kéo đi như con chiên đến hàng lầm thịt,. lại như chiên con câm trước mặt kẻ hớt lông,. người chẳng mở miệng.
na 'bok phõ linh ei năm ba mon. pôl truh tơ 'bok yõng sư na khan hloi: "bơngai bomă, anăn sư. pôl, krao inh na apinh inh năm ba bomgai'tơdăm âu tơ ih. sư đei tơdrong wă pơma hăm ih.". ||| lvậy, độitrưởng đem chàng đi, dẫn đến nhà quản-cơ, và thưa rang:. tên tù. phaolô có gọi tôi biểu đem gã trai-trẻ nầy đến cùng quan, chàng có việc muốn nói.
na 'bok ttfngla mir noh wefh dong lu dich dam stf nam lef hloh kef lu bongai nam ho'drol, lu bongai jang mertig pertn oei lei-ldi. ||| ông lại sai một số đầy tớ khác đông hơn trước: nhưng bọn tá điền cũng xử với họ y như vậy.
na' đei tơdrong tơgar băl lăm lu bơngai wei sem dơrong. abram pàng lu bơngai wei sem dơrong. lot. kơpỉah noh kon pơlei. kanaan păng kon pơlei. phêrêsit kữm oei lăm char ei, thoi noh anih wei sem dơrong ưh kơmah. ||| một cuộc tranh chấp xảy ra giữa những người chăn súc vật của ông áp-ram và những người chăn súc vật của ông. lót. thời bấy giờ người. ca-na-an và người. pơ-rít-di đang ở trong miền ấy.
na,. amnon 'bich ptfm btflo, lap 'ba stf ptftao nam lang, na. amnon ptfma hdm ptftao:. inh apinh ih an ktf. tamar nam ttf au, ptfm 'bar to 'beng ie 'bd't andp inh; pang go pok hidng 'beng noh hdm ti stf ktfdih an ktf inh sa. ||| am-nôn đi nằm và giả bệnh. vua đến thăm, và. am-nôn thưa với vua: "xin cho phép. ta-ma, em con, đến làm trước mắt con hai cái bánh và tự tay mang đến cho con dùng."
na,. dawit tok hloi pah to, ptfdcfh 'bdt ko'pal tol kong, ataih ttfpa ddng todong linh solam lu stf. ||| ông ða-vít đi sang phía bên kia và đứng trên đỉnh núi, ở đàng xa; có một khoảng cách lớn giữa họ.
na,. jese năm wơh bơngai năm krao iŏk sư. muh măt akâu jăn sư hơbŏ 'lơ̆ng. kră. yang khan kơ. samuel: 'nâu boih; iung bĕ tuh đak rơmă kơ sư. ||| vậy,. y-sai sai gọi người. mặt người hồng hồng, con mắt xinh lịch, và hình dung tốt đẹp. đức. giê-hô-va phán cùng. sa-mu-ên rằng: ấy là nó; hãy đứng dậy xức dầu cho nó.
na,. jethro, tơnei. môis năm chông ba 'bar nu kon drõ-nglo păng akăn. môis, năm ngôi apong tơ anih char glă, anih. môis oei pơdơh jễ kông. kră. yang 'bok. kei-dei. ||| ông. gít-rô, nhạc phụ ông. mô-sê, cùng với vợ con ông. mô-sê đến gặp ông. mô-sê ở sa mạc, nơi ông này dựng lều, gần núi của. thiên. chúa.
na,. jêrêmi tơl hloi. hanania 'bok khan lê̆ adrol 'bơ̆t anăp lu 'bok soi păng kon pơlei oei dơ̆ng lăm hnam. kră. yang. ||| bấy giờ. tiên. tri. giê-rê-mi nói với. tiên. tri. ha-na-ni-a trước mặt các tư tế và mọi người đang đứng trong nhà. chúa
na,. jônathan krao đawit, roi ăn dôm lu nơ̆r ei kơ sư, na chông ba đawit năm tơ. sôl, na đawit oei bơ̆jang kơ. sôl thoi adrol ki dơ̆ng. ||| bấy giờ,. giô-na-than gọi đa-vít, thuật các lời ấy cho người, đoạn dẫn đa-vít đến gần. sau-lơ, và đa-vít hầu việc. sau-lơ như trước.
na,. jônathan pơgơ̆p hăm đawit păng hnam dơnŏ sư. apinh. kră. yang phak lu bơngai ayăt kơ đawit. dah lu sư ưh kơ 'blŏk kơ tơdrong pơgơ̆p ba. ||| như vậy,. giô-na-than kết giao ước cùng nhà đa-vít mà rằng: đức. giê-hô-va sẽ báo thù những thù nghịch của đa-vít.
na,. jôsep athei chĩt lễ lu sư hơdai lăm pêng năr. ||| rồi ông giam giữ họ ba ngày.
na,. jôsuê khan hăm kon pơlei. isơrael:. iĕm wă gô dang yơ dơ̆ng năm mơ̆t blah iŏk char mă. kră. yang 'bok. kei-dei 'bok lu iĕm ăn bơih kơ iĕm? ||| giô-suê bèn nói cùng dân. y-sơ-ra-ên rằng:. các ngươi lần lữa cho đến chừng nào, không đi chiếm xứ mà. giê-hô-va đức. chúa. trời của tổ phụ các ngươi ban cho các ngươi?
na,. kra. yang. so ba inh mdt to cham hnam. kra. yang; pang to noh trong mdt to hnam kokuh ko'. krs. yang, tdk-bok kodeng 'mang pang chonang soi, inh 'boh dei dang 'bar-jit podam 'nu bongai dro-nglo, rdng towih ko hnam. krs. yang pang muh mat lu so to'wih gah holech, drap kokuh ko mat 'nar ddng holech. ||| người lại dẫn tôi đến tiền đình phía bên trong. nhà ðức. chúa. và này, nơi lối vào ðền. thờ ðức. chúa, giữa tiền đường và bàn thờ, có khoảng hai mươi lăm người, lưng quay về ðền. thờ ðức. chúa, mặt hướng về phía đông. chúng nhằm hướng đông mà sụp lạy mặt trời.
na,. kra. yang. tih. hloh khan: "au,. inh kodih akau. inh blah ih pang. inh go phak ih'bdt an3p lu deh char. ||| vì thế, ðức. chúa là. chúa. thượng phán như sau:. này. ta sắp giáng phạt ngươi, chính. ta sẽ thi hành án phạt ngươi trước mặt chư dân.
na,. kra. yang khan ktf lii stf thoi au:. inh ktfdih go sek ttflang bre triu bek pang lu triu htfke. ||| bởi vậy, ðức. chúa là. chúa. thượng phán với chúng như sau:. này. ta sẽ xét xử giữa chiên béo với chiên gầy.
na,. kra. yang khan thoi au:. au. irih go an ko lu adrech. jakop wih brok; hiok-hian pang, 'mem monat ko di-dang lu adrech. isorael, pang go gar anan 'ldng:rogoh. inh. ||| ta đã xử với chúng tương xứng với những điều ô uế, những tội ác của chúng và. ta đã ẩn mặt đi.
na,. kra. yang khan:. au,. inh go pojao char. eyiptor 3n kor. nebukatnessar : portao. babilon; stf go idk chdp ba tomam noh pang torgar idk lu tomam nai pang pojei idk teh; noh boih.tomam apah kor lu linh stf. ||| vì thế, ðức. chúa là. chúa. thượng phán như sau:. này,. ta sẽ trao đất. ai-cập cho. na-bu-cô đô-nô-xo, vua. ba-by-lon, nó sẽ lấy của cải mang đi, sẽ đoạt chiến lợi phẩm và cướp sạch xứ ấy; đó sẽ là lợi lộc trả cho quân của nó.
na,. kră. yang wơh ih năm na khan:. năm bĕ pơlôch đĭ lu bơngai pơm yoch to, noh kon pơlei. amalek păng tơblah hăm lu sư dĭng truh kơ lu iĕm pơlôch đĭ lu sư. ||| vả, đức. giê-hô-va đã sai ngươi đi mà rằng:. hãy đi diệt hết những kẻ phạm tội kia, là dân. a-ma-léc, và giao chiến cùng chúng nó cho đến chừng ngươi đã diệt chúng nó.
na,. kră. yang ăn 'mi prẽl ũnh păng ùnh đỡng plẽnh ti jruh tơsôđôm păng. gômôrơ,. ||| ðức. chúa làm mưa diêm sinh và lửa từ ðức. chúa, từ trời, xuống. xơ-đôm và. gô-mô-ra.
na,. kră. yang.khan kơ. môis:. khan bẽ kơ. arôn:. athei chẽp 'long jra yờr ti tơ kơpal thong đak tih iẽ, đak dơnâu, wà kơ kit tồk đỡng noh năm tơ jỡp kơ dêh êyiptơ. ||| ông. mô-sê thưa với. pha-ra-ô: "xin cho tôi được hân hạnh biết khi nào tôi phải cầu xin cho bệ hạ, cho bề tôi và dân của bệ hạ, để ếch nhái rời khỏi bệ hạ và cung điện, mà chỉ còn ở lại trong sông. nin."
na,. kơplah lu 'nhõng sư tuh 'ba đờng 'bi sư kơdih kơdih, na 'bỡt 'bỡr 'bi, rim 'nu jên oei oei ngăl tơ rim 'bi lu. sư; 'bă sư hăm lu 'nhõng oh sư 'bôh jên oei đei, na hli dêh. ||| khi họ đổ bao ra, thì mỗi người thấy trong bao có túi bạc của mình. thấy những túi bạc, họ và cha họ phát sợ.
na,. mikal iŏk rup man tơ'bĭch kơpal giơng, iŏk 'long kơn sŏk bơbe hơgơn kơ̆l, tơsu ao kơ akâu rup. ||| kế ấy,. mi-canh lấy tượng thê-ra-phim mà để lên giường, dùng tấm nệm bằng lông dê bọc đầu nó, rồi bao phủ cái mình nó bằng một cái áo tơi.
na,. môis jur đờng kông năm, roi ăn kơ kon pơlei băt tơdrong noh. ||| ông. mô-sê xuống với dân và nói với họ.
na,. môis păng. arôn năm 'bỡt anăp. pharaôn păng pởm -kiỡ thoi nỡr. kră. yang tơtă boih. arôn klỡm 'long jrạ sư 'bỡt anăp măt. pharaôn păng lu đam sư, 'long jra noh jing^inh dăng 'bih. ||| ông. mô-sê và ông. a-ha-ron liền đến với. pha-ra-ô và làm như ðức. chúa đã truyền. ông. a-ha-ron ném cây gậy của mình xuống trước mặt. pha-ra-ô và bề tôi của vua: gậy hoá thành một con rắn to.
na,. môis rơih hloi lu bơngai drỗ-nglo gơh hơgei đỡng lăm kon pơléi .isơrael, pôk ăn pơm yỗng wei-lăng kon pơlei kơ minh-rơbâu 'nu, kơ minh-hrẽng 'nu; kơ pơđăm-jĩt 'nu, kơ mợịĩt nu bơngai;. ||| ông. mô-sê chọn trong toàn dân ít-ra-en những người có tài và đặt họ làm đầu dân, điều khiển một ngàn hay một trăm, năm mươi hay mười người.
na,. rachel đei iõk dôm lu rup man noh, ôn lăm an lăk-đa, na sư hơ-oei kơtĩt kơpal. la'ban chă pơih jỡp lăm anih ưh kơ 'bôh rup yang. ||| bà. ra-khen đã lấy các tượng thần, để trong yên lạc đà rồi ngồi lên trên. ông. la-ban lục lọi khắp cả lều mà không tìm thấy.
na,. samuel wih brŏk tơ. rama; gah. sôl brŏk tơ hnam sư kơdih tơ. gibêah. ||| đoạn,. sa-mu-ên đi về. ra-ma; còn. sau-lơ trở về nhà mình tại. ghi-bê-a của. sau-lơ.
na,. sôl khan kơ. jônathan: ơ kon drŏ-nglo hơlĕnh păng ayăt plơ̆ plĕch kơ inh, inh băt kơ e pơm buăl juăt hăm kon drŏ-nglo. jese, wă pơm ăn kơ e mơlâu đĕch păng pơm ăn kơ mĕ e kư̆m mơlâu mơ̆n! ||| bấy giờ,. sau-lơ nổi giận cùng. giô-na-than, mà rằng: ớ con trai gian tà và bội nghịch kia, ta biết mầy có kết bạn cùng con trai của. y-sai, đáng hổ nhục cho mầy, và đáng hổ nhục cho mẹ đã đẻ mầy thay!
na,. sôl krao pơpôi akŭm kon pơlei pơla tơ pơlei. têliam. đei 'bar-rơbâu 'nu linh yak jơ̆ng păng mơjĭt-rơbâu 'nu bơngai. juđa. ||| vậy,. sau-lơ nhóm hiệp dân sự và điểm soát họ tại. tê-la-im: có hai trăm ngàn lính bộ, và mười ngàn người. giu-đa.
na, bongai drd-kdn ei ndm tcfbdp dl- dang kon pcrlei pang roi tobdt teydrong gc/h ho'gei sif. lu sif chdng kdl. seba, kon drd- nglo. bikri kldm an ko. joap. joap hlom keng hloi; na khul linh ko'dun weh dong peylei pang tcyklah. idch, bu bu brdk to hnam lu sif kefdih. na. joap wih brdk dong tey peylei. jerusalem tomt 5n key pdtao. ||| với sự khôn ngoan của mình, người đàn bà đến gặp toàn dân. người ta chặt đầu. se- va, con của. bích-ri, và ném xuống cho ông. giô-áp. ông cho thổi tù và, rồi họ bỏ thành mà phân tán đi, ai nấy về lều mình, còn ông. giô-áp thì về. giê-ru-sa-lem với vua.
na, chẽp ba ao tai brông noh chẽp tơbôh kơ 'bă sư pàng khan: 'nâu tơmam mă lu nhôn đei chă 'bôh. âu iung bẽ hàm ưõ kơ ao kon hơlơp ih ưh? ||| họ gửi người mang cái áo chùng dài tay về cho cha họ và nói: "chúng con đã thấy cái này. xin cha nhận ra xem có phải là áo của con cha hay không."
na, dang ei, mơ̆ng bĕ tơdrong 'nâu ơ lu bơngai pơmat-tat, lu bơngai suai mă-lei ưh kơ đei yua đơ̆ng tơdrô. ||| vậy bây giờ hãy nghe đây, hỡi những kẻ bị khốn khổ,. những kẻ bị say nhưng không phải say vì rượu:
na, dei.minh 'nu beyngai oei to polei. maon, ma-lei teh jang sa to' po'lei. karmel, stf boyigai mo'eirdng, dei peng-robau triu pang minh-robau bo'be; stf oei tey. karmel oei yua sok triu stf. ||| ở. ma-ôn có một người có cơ sở làm ăn tại. các-men. người ấy rất giàu: ông có ba ngàn con cừu và một ngàn con dê. ông đang ở. các-men để xén lông cừu của ông.
na, dôm tơdrong ei ưồ 'blep thoi sư đei tơblang:. pơtaoăn kơ inh jang thoi đêl, bơngai mă pơm 'bẽng noh pơtao atol pơlôch sư. ||| sự việc đã xảy ra như anh ta đã giải thích cho chúng tôi: tôi thì được phục hồi chức vụ, còn ông kia thì bị treo cổ."
na, gơih nơ̆r âu ăn kơ lu pơtao char. eđôm,. môap,. ammôn,. tirơ păng pơtao char. siđôn, hơtă 'bơ̆t lu bơngai mă lu năm pơtao wơh tơ pơlei. jêrusalem tơ'bơ̆p. sêđekia, pơtao đe. juđa. ||| sau đó ngươi hãy gởi sứ điệp cho vua ê-đôm, vua. mô-áp, vua. am-môn, vua. ty-rơ, và vua. si-đôn, qua tay các sứ giả đến. giê-ru-sa-lem để gặp. xê-đê-ki-a vua. giu-đa
na, khan le adrol be, khan ktf lu stf: 'kr3. yang khan thoi au:. o' kon ptflei. inh,. inh g6 ptfih b o'sat lu iem, wa htftok lu iem dong lam btfsat pang. inh anhak ba lu iem brok ttf teh dak. isorael. ||| chính vì thế, ngươi hãy tuyên sấm, hãy nói với chúng: ðức. chúa là. chúa. thượng phán như sau:. hỡi dân. ta, này chính. ta mở huyệt cho các ngươi,. ta sẽ đưa các ngươi lên khỏi huyệt và đem các ngươi về đất ít-ra-en.
na, khŭl kon sâu. dan chĕp hla-kơ kiơ̆ kơ khŭl lu sư; lu sư jing khŭl yak đơ̆ng rŏng kơ lu khŭl adrĕch nai. ahiser kon drŏ-nglo. amisadai, yŏng kơdră pơgơ̆r khŭl adrĕch kon sâu đan. ||| rốt lại, ngọn cờ của trại-quân đan ra đi, tùy theo các đội-ngũ mình; nó làm hậu-binh của các trại-quân khác. a-hi-ê-xe, con trai. a-mi-sa-đai, thống-lãnh quân-đội đan.
na, kơplah. abiathar, kon drŏ-nglo. ahimelek, kơdâu klĕnh tơ đawit tơ pơlei. kêila, đei chĕp ba êphot. ||| vả, khi. a-bia-tha, con trai của. a-hi-mê-léc, đi trốn đến cùng đa-vít tại. kê-i-la, thì có đem theo cái ê-phót.
